RECO_PTH_300_450_Tag1 chi2 
2.01554 0
0.353 0.318299
0.051 0.462509
3.071 0.0992596
3.373 0.191673
3.675 0.305031
3.977 0.438267
4.279 0.590625
4.581 0.761284
4.883 0.94943
5.185 1.1545
5.487 1.37578
5.789 1.61263
0.957 0.119597
0.655 0.210841
6.091 1.86447
6.393 2.13074
6.695 2.4109
6.997 2.70446
7.299 3.01092
7.601 3.32971
7.903 3.66054
8.205 4.00305
8.507 4.35679
8.809 4.72136
9.111 5.00361
9.413 5.38771
9.715 5.78164
10.017 6.18496
10.319 6.5976
10.621 7.01916
10.923 7.44937
11.225 7.88797
11.527 8.33471
11.829 8.78933
1.561 -0.0169424
1.259 0.0369608
12.131 9.25153
12.433 9.72125
12.735 10.1982
13.037 10.6821
13.339 11.1729
13.641 11.6702
13.943 12.1738
14.245 12.6836
14.547 13.1994
14.849 13.721
2.165 -0.044134
1.863 -0.043421
2.467 -0.0197736
2.769 0.0282922
