RECO_PTH_GT650_Tag0 chi2 
-0.1 0
0.051 0.0117628
0.353 0.149566
3.071 1.82233
3.373 2.02394
3.675 2.22684
3.977 2.43054
4.279 2.63486
4.581 2.83947
4.883 3.04463
5.185 3.25008
5.487 3.45565
5.789 3.66155
0.655 0.312272
0.957 0.483306
6.091 3.86747
6.393 4.07334
7.299 4.69084
7.601 4.89645
7.903 5.10194
8.205 5.30726
8.507 5.51242
8.809 5.71739
9.111 5.92218
9.413 6.12676
9.715 6.33115
10.017 6.53533
10.319 6.73921
10.621 6.94296
10.923 7.14648
11.225 7.34978
11.527 7.55286
11.829 7.75572
1.259 0.663286
1.561 0.849395
12.131 7.95836
12.433 8.16064
12.735 8.36287
13.037 8.56479
13.339 8.76653
13.641 8.96805
13.943 9.16936
14.245 9.37045
14.547 9.57133
14.849 9.77199
1.863 1.03986
2.165 1.22769
2.467 1.424
2.769 1.62238
