RECO_THQ_LEP chi2 
3.75502 0
0.353 6.72236
0.051 8.49614
3.373 0.000605032
3.071 0.111899
3.675 -0.0448363
3.977 -0.0325562
4.279 0.0313214
4.581 0.128317
4.883 0.268254
5.185 0.446386
5.487 0.659018
5.789 0.903131
0.957 3.87769
0.655 5.14374
6.091 1.17592
6.393 1.47497
6.695 1.79809
6.997 2.14347
7.299 2.50936
7.601 2.89423
7.903 3.29673
8.205 3.7156
8.507 4.15453
8.809 4.60294
9.111 5.06466
9.413 5.53883
9.715 6.0247
10.017 6.52153
10.319 7.02869
10.621 7.54558
10.923 8.07162
11.225 8.60633
11.527 9.14922
11.829 9.69985
1.561 2.06809
1.259 2.8693
12.131 10.2578
12.433 10.8227
12.735 11.3942
13.037 11.972
13.339 12.5557
13.641 13.1451
13.943 13.7398
14.245 14.3397
14.547 14.9445
14.849 15.554
2.165 0.944645
1.863 1.43616
2.769 0.298363
2.467 0.571211
