RECO_TTH_HAD_PTH_200_300_Tag0 chi2 
1.73594 0
0.353 2.87758
0.051 5.24936
3.071 0.931736
3.373 1.34922
3.675 1.81205
3.977 2.31278
4.279 2.8455
4.581 3.40538
4.883 3.98862
5.185 4.59202
5.487 5.21283
5.789 5.84874
0.957 0.665556
0.655 1.4814
6.091 6.49774
6.393 7.15811
6.695 7.82829
6.997 8.50732
7.299 9.19386
7.601 9.88714
7.903 10.5863
8.205 11.2905
8.507 11.9993
8.809 12.7119
9.111 13.428
9.413 14.1469
9.715 14.8684
10.017 15.592
10.319 16.3174
10.621 17.0442
10.923 17.7724
11.225 18.5015
11.527 19.2314
11.829 19.9618
1.561 -0.00560679
1.259 0.214273
1.863 -0.0412601
2.165 0.0629248
2.467 0.274001
2.769 0.569147
