RECO_TTH_HAD_PTH_GT300_Tag1 chi2 
2.28469 0
0.353 3.30175
0.051 4.99165
3.071 0.20938
3.373 0.420059
3.675 0.669833
3.977 0.957899
4.279 1.27922
4.581 1.6298
4.883 2.00635
5.185 2.40585
5.487 2.82611
5.789 3.26473
0.957 1.2338
0.655 2.08786
6.091 3.71972
6.393 4.18943
6.695 4.67247
6.997 5.16207
7.299 5.66824
7.601 6.1845
7.903 6.71
8.205 7.24396
8.507 7.79112
8.809 8.33454
9.111 8.89005
9.413 9.45169
9.715 10.0189
10.017 10.5913
10.319 11.1684
10.621 11.75
10.923 12.3357
11.225 12.9251
11.527 13.5235
11.829 14.1145
1.561 0.268537
1.259 0.645321
12.131 14.7138
12.433 15.316
12.735 15.9207
13.037 16.5279
13.339 17.1374
13.641 17.749
13.943 18.3625
14.245 18.9832
14.547 19.6003
2.165 -0.0397132
1.863 0.0516005
2.467 -0.0313709
2.769 0.0568427
