RECO_TTH_LEP_PTH_0_60_Tag0 chi2 
1.27643 0
0.353 0.389022
0.051 0.90156
3.071 0.621295
3.373 0.813705
3.675 1.02002
3.977 1.23832
4.279 1.4728
4.581 1.71106
4.883 1.95765
5.185 2.21171
5.487 2.46669
5.789 2.73357
0.957 -0.0083076
0.655 0.126195
6.091 3.00603
6.393 3.28356
6.695 3.56576
6.997 3.85226
7.299 4.14273
7.601 4.43681
7.903 4.73435
8.205 5.03507
8.507 5.33873
8.809 5.64515
9.111 5.95415
9.413 6.26556
9.715 6.57924
10.017 6.89505
10.319 7.21286
10.621 7.53256
10.923 7.85403
11.225 8.18213
11.527 8.50686
11.829 8.8331
1.259 -0.0408756
1.561 -0.0226058
12.131 9.16075
12.433 9.48973
12.735 9.82
13.037 10.1471
13.339 10.4719
13.641 10.8029
13.943 11.1349
14.245 11.4679
14.547 11.8019
14.849 12.1369
1.863 0.0478238
2.165 0.153627
2.467 0.287797
2.769 0.445039
