RECO_VBFLIKEGGH_Tag0 chi2 
2.70855 0
0.203 6.39314
0.001 7.66457
2.223 0.183278
2.021 0.303166
2.627 -0.0345844
2.425 0.0381808
2.829 -0.0373013
3.031 0.0355314
3.233 0.175823
3.435 0.379145
3.637 0.641219
3.839 0.957748
0.607 4.19718
0.405 5.23744
4.041 1.32499
4.243 1.73952
4.445 2.19849
4.647 2.69945
4.849 3.24039
5.051 3.81923
5.253 4.43391
5.455 5.08232
5.657 5.76263
5.859 6.4732
6.061 7.21239
6.263 7.97849
6.465 8.77002
6.667 9.58555
6.869 10.424
7.071 11.284
7.273 12.1646
7.475 13.0648
7.677 13.9837
7.879 14.9204
1.011 2.48207
0.809 3.27476
8.081 15.8739
8.283 16.8437
8.889 19.7492
1.415 1.2702
1.213 1.81565
1.819 0.519794
1.617 0.84081
