RECO_VBFTOPO_JET3VETO_LOWMJJ_Tag1 chi2 
1.77986 0
0.203 5.18783
0.001 6.28235
2.021 0.0341139
2.223 0.192919
2.425 0.436418
2.627 0.732438
2.829 1.08991
3.031 1.4968
3.233 1.94658
3.435 2.43374
3.637 2.95347
3.839 3.5022
0.607 2.63536
0.405 3.79175
4.445 5.29255
4.647 5.92947
4.849 6.58331
5.051 7.2524
5.253 7.93527
5.455 8.63063
5.657 9.33712
5.859 10.0539
6.061 10.7798
6.263 11.5141
6.465 12.2561
6.667 13.0051
6.869 13.7606
7.071 14.522
7.273 15.2888
7.475 16.0605
7.677 16.8369
7.879 17.6173
1.011 1.00624
0.809 1.71174
8.081 18.3422
8.283 19.0908
8.485 19.8435
1.415 0.165646
1.213 0.494466
1.819 -0.045068
1.617 -0.00174734
