RECO_VBFTOPO_JET3_LOWMJJ_Tag1 chi2 
1.27303 0
0.203 1.31574
0.001 1.89939
2.021 0.520872
2.223 0.849579
2.425 1.24245
2.627 1.69433
2.829 2.20084
3.031 2.75805
3.233 3.36239
3.435 4.01026
3.637 4.69814
3.839 5.42269
0.607 0.468021
0.405 0.839109
4.041 6.18529
4.243 6.97555
4.445 7.79406
4.647 8.63926
4.849 9.50916
5.051 10.402
5.253 11.3108
5.455 12.2445
5.657 13.1965
5.859 14.1657
6.061 15.1508
6.263 16.1508
6.465 17.1698
6.667 18.1965
6.869 19.23
1.011 0.0305361
0.809 0.199577
1.213 -0.0368513
1.415 -0.0256128
1.617 0.0779033
1.819 0.261677
