RECO_WH_LEP_PTV_75_150_Tag0 chi2 
1.28604 0
0.203 1.42264
0.001 2.18881
2.021 0.374884
2.223 0.61362
2.425 0.894973
2.627 1.21464
2.829 1.56917
3.031 1.95541
3.233 2.37055
3.435 2.81235
3.637 3.28368
3.839 3.7675
0.607 0.459175
0.405 0.860334
4.041 4.28233
4.243 4.81152
4.445 5.35876
4.647 5.8917
4.849 6.44543
5.051 7.01539
5.253 7.60041
5.455 8.19954
5.657 8.81191
5.859 9.43662
6.465 11.3788
6.667 12.0467
6.869 12.7191
7.071 13.4051
7.273 14.0996
7.475 14.802
7.677 15.5119
7.879 16.2291
1.011 0.0275309
0.809 0.188921
8.081 16.953
8.283 17.6835
8.485 18.4201
8.687 19.1628
8.889 19.9109
1.213 -0.0418163
1.415 -0.0324988
1.617 0.0453963
1.819 0.183558
