RECO_ZH_LEP_Tag0 chi2 
1.86775 0
0.203 3.48309
0.001 4.79139
2.021 -0.029276
2.223 0.0440013
2.425 0.16834
2.627 0.33794
2.829 0.548099
3.031 0.799786
3.233 1.07452
3.435 1.38407
3.637 1.72097
3.839 2.08291
0.607 1.69709
0.405 2.47392
4.041 2.46771
4.243 2.87383
4.445 3.29954
4.647 3.74336
4.849 4.20416
5.051 4.6807
5.253 5.17179
5.455 5.67677
5.657 6.19464
5.859 6.72463
6.061 7.26601
6.263 7.81812
6.465 8.38037
6.667 8.9522
6.869 9.53309
7.071 10.1226
7.273 10.7201
7.475 11.3255
7.677 11.9382
7.879 12.5579
1.011 0.6634
0.809 1.10525
8.081 13.1843
8.283 13.817
8.485 14.4558
8.687 15.1004
8.889 15.7506
9.091 16.406
9.293 17.0665
9.495 17.7319
9.697 18.402
9.899 19.0765
1.415 0.13108
1.213 0.345336
1.819 -0.0449953
1.617 0.00511273
