RECO_0J_PTH_0_10_Tag1 chi2 
0.883425 0
0.1265 3.68878
-0.0245 5.35661
1.4855 0.149747
1.6365 0.383311
1.7875 0.718692
1.9385 1.13808
2.0895 1.6258
2.2405 2.17059
2.3915 2.76213
2.5425 3.39664
2.6935 4.06448
2.8445 4.76183
0.4285 1.24668
0.2775 2.31893
2.9955 5.48458
3.1465 6.22929
3.2975 6.99305
3.4485 7.77341
3.5995 8.56827
3.7505 9.37586
3.9015 10.1948
4.0525 11.0235
4.2035 11.8611
4.3545 12.7066
4.5055 13.5591
4.6565 14.4179
4.8075 15.2822
4.9585 16.1518
5.1095 17.0259
5.2605 17.9043
5.4115 18.7865
5.5625 19.6723
0.7305 0.0851958
0.5795 0.5061
1.0325 0.0616494
1.1835 0.207628
1.3345 0.0299371
