RECO_GE2J_PTH_60_120_Tag0 chi2 
0.1265 0.801484
-0.0245 1.24944
1.4855 0.114282
1.6365 0.36905
1.7875 0.682177
1.9385 1.05153
2.0895 1.47431
2.2405 1.95045
2.3915 2.47717
2.5425 3.05263
2.6935 3.67472
2.8445 4.34258
0.4285 0.144062
0.2775 0.433763
2.9955 5.05505
3.1465 5.81234
3.2975 6.61157
3.4485 7.45201
3.5995 8.33182
3.7505 9.24858
3.9015 10.2036
4.0525 11.1911
4.2035 12.214
4.3545 13.2691
4.5055 14.3536
4.6565 15.4697
4.8075 16.6147
4.9585 17.7877
5.1095 18.9875
0.7305 -0.210073
0.5795 -0.0697822
0.8815 -0.279021
1.0325 -0.278837
1.1835 -0.211793
1.3345 -0.080049
