RECO_PTH_300_450_Tag1 chi2 
2.01554 0
0.1265 0.42471
-0.0245 0.497188
2.6935 0.0140834
2.8445 0.0439212
0.4285 0.293802
0.2775 0.35527
2.9955 0.079377
3.1465 0.120237
3.2975 0.166575
3.4485 0.218103
3.5995 0.27479
3.7505 0.336518
3.9015 0.403128
4.0525 0.474599
4.2035 0.550791
4.3545 0.631604
4.5055 0.716945
4.6565 0.806657
4.8075 0.900769
4.9585 0.999143
5.1095 1.10169
5.2605 1.20833
5.4115 1.31898
5.5625 1.43356
5.7135 1.55199
5.8645 1.67421
0.7305 0.188721
0.5795 0.23484
6.0155 1.80014
6.1665 1.92971
6.3175 2.06285
6.4685 2.1995
6.6195 2.33959
6.7705 2.48306
6.9215 2.62984
7.0725 2.77988
7.2235 2.93312
7.3745 3.0895
7.5255 3.24884
7.6765 3.41133
7.8275 3.57672
7.9785 3.74509
8.1295 3.91635
8.2805 4.09046
8.4315 4.26737
8.5825 4.44698
8.7335 4.62922
8.8845 4.72217
1.0325 0.0961573
0.8815 0.144921
9.0355 4.90915
9.1865 5.0987
9.3375 5.29076
9.4885 5.48529
9.6395 5.68226
9.7905 5.88162
9.9415 6.08323
10.0925 6.28727
10.2435 6.4936
10.3945 6.70217
10.5455 6.91295
10.6965 7.12592
10.8475 7.34103
10.9985 7.55825
11.1495 7.77755
11.3005 7.9989
11.4515 8.22227
11.6025 8.44763
11.7535 8.67495
11.9045 8.90419
1.3345 0.0208297
1.1835 0.0548847
12.0555 9.13525
12.2065 9.36827
12.3575 9.60313
12.5085 9.83981
12.6595 10.0783
12.8105 10.3185
12.9615 10.5605
13.1125 10.8042
13.2635 11.0496
13.4145 11.2966
13.5655 11.5453
13.7165 11.7954
13.8675 12.0473
14.0185 12.3007
14.1695 12.5556
14.3205 12.812
14.4715 13.0699
14.6225 13.3292
14.7735 13.59
14.9245 13.8523
