RECO_PTH_GT650_Tag0 chi2 
-0.0245 -0.284263
0.1265 -0.270712
1.4855 0.174289
1.6365 0.249632
1.7875 0.32882
1.9385 0.411608
2.0895 0.497852
2.2405 0.58712
2.3915 0.679468
2.5425 0.774617
2.6935 0.872534
2.8445 0.972972
0.2775 -0.248034
0.4285 -0.217133
2.9955 1.07584
3.1465 1.18101
3.2975 1.28843
3.4485 1.39796
3.5995 1.50954
3.7505 1.62306
3.9015 1.73847
4.0525 1.85568
4.2035 1.97463
4.3545 2.09527
4.5055 2.21753
4.6565 2.34137
4.8075 2.46671
4.9585 2.59353
5.1095 2.72178
5.2605 2.85142
5.4115 2.9824
5.5625 3.11469
5.7135 3.24825
5.8645 3.38305
0.5795 -0.178826
0.7305 -0.133761
6.0155 3.51906
6.1665 3.65624
6.3175 3.79457
6.4685 3.93401
6.6195 4.07455
6.7705 4.21615
6.9215 4.35879
7.0725 4.50245
7.2235 4.64711
7.3745 4.79273
7.5255 4.93931
7.6765 5.08684
7.8275 5.23525
7.9785 5.38456
8.1295 5.53475
8.2805 5.68599
8.4315 5.83787
8.5825 5.99058
8.7335 6.14411
8.8845 6.29842
0.8815 -0.0825526
1.0325 -0.0256989
9.0355 6.45351
9.1865 6.60936
9.3375 6.76596
9.4885 6.92321
9.6395 7.08127
9.7905 7.24012
9.9415 7.39949
10.0925 7.55964
10.2435 7.72045
10.3945 7.88193
10.5455 8.04406
10.6965 8.20682
10.8475 8.37021
10.9985 8.53421
11.1495 8.69882
11.3005 8.86403
11.4515 9.02982
11.6025 9.19619
11.7535 9.36313
11.9045 9.53062
1.1835 0.0362961
1.3345 0.103067
12.0555 9.69867
12.2065 9.86725
12.3575 10.0364
12.5085 10.206
12.6595 10.3762
12.8105 10.5468
12.9615 10.718
13.1125 10.8896
13.2635 11.0618
13.4145 11.2344
13.5655 11.4075
13.7165 11.581
13.8675 11.755
14.0185 11.9295
14.1695 12.1044
14.3205 12.2798
14.4715 12.4555
14.6225 12.6317
14.7735 12.8083
14.9245 12.9854
