RECO_THQ_LEP chi2 
0.1265 7.63015
-0.0245 8.4067
1.6365 2.29565
1.4855 2.65016
1.9385 1.67956
1.7875 1.97291
2.2405 1.17267
2.0895 1.41345
2.5425 0.760191
2.3915 0.955425
2.8445 0.430097
2.6935 0.585508
0.4285 6.26638
0.2775 6.91845
3.1465 0.172479
2.9955 0.292723
3.4485 -0.0213282
3.2975 0.0680837
3.7505 -0.157993
3.5995 -0.096393
4.0525 -0.243605
3.9015 -0.206841
4.3545 -0.283249
4.2035 -0.26888
4.5055 -0.287238
4.6565 -0.281326
4.8075 -0.265986
4.9585 -0.241644
5.1095 -0.214557
5.2605 -0.178621
5.4115 -0.134776
5.5625 -0.0833595
5.7135 -0.0243016
5.8645 0.0417001
0.7305 5.00423
0.5795 5.61773
6.0155 0.114601
6.1665 0.194075
6.3175 0.279804
6.4685 0.371675
6.6195 0.469301
6.7705 0.572538
6.9215 0.68118
7.0725 0.794937
7.2235 0.913822
7.3745 1.03756
7.5255 1.16599
7.6765 1.29895
7.8275 1.43628
7.9785 1.57786
8.1295 1.72353
8.2805 1.87317
8.4315 2.02665
8.5825 2.18385
8.7335 2.34467
8.8845 2.50898
1.0325 3.93254
0.8815 4.44408
9.0355 2.67666
9.1865 2.84764
9.3375 3.02186
9.4885 3.19915
9.6395 3.37948
9.7905 3.56273
9.9415 3.74885
10.0925 3.9377
10.2435 4.12927
10.3945 4.32346
10.5455 4.5202
10.6965 4.71934
10.8475 4.92107
10.9985 5.12508
11.1495 5.33136
11.3005 5.53989
11.4515 5.75061
11.6025 5.96345
11.7535 6.17837
11.9045 6.39531
1.3345 3.03913
1.1835 3.46546
12.0555 6.61422
12.2065 6.83506
12.3575 7.05779
12.5085 7.28234
12.6595 7.5087
12.8105 7.7368
12.9615 7.96662
13.1125 8.19811
13.2635 8.43124
13.4145 8.66596
13.5655 8.90224
13.7165 9.14006
13.8675 9.37936
14.0185 9.62014
14.1695 9.86233
14.3205 10.1059
14.4715 10.3509
14.6225 10.5972
14.7735 10.8449
14.9245 11.0938
