RECO_TTH_HAD_PTH_120_200_Tag0 chi2 
0.1265 7.72847
-0.0245 9.90639
1.6365 -0.0982954
1.4855 0.0919254
1.9385 -0.278297
1.7875 -0.218994
2.0895 -0.282986
2.2405 -0.238878
2.3915 -0.150825
2.5425 -0.0230816
2.6935 0.140714
2.8445 0.337369
0.4285 4.5723
0.2775 5.98026
2.9955 0.564063
3.1465 0.818401
3.2975 1.09817
3.4485 1.40143
3.5995 1.72645
3.7505 2.0717
3.9015 2.43576
4.0525 2.8174
4.2035 3.21545
4.3545 3.62888
4.5055 4.05673
4.6565 4.49812
4.8075 4.95234
4.9585 5.41858
5.1095 5.89614
5.2605 6.38448
5.4115 6.88298
5.5625 7.39113
5.7135 7.9084
5.8645 8.4344
0.7305 2.51768
0.5795 3.43552
6.0155 8.96864
6.1665 9.51073
6.3175 10.0603
6.4685 10.6171
6.6195 11.1806
6.7705 11.7506
6.9215 12.3268
7.0725 12.9089
7.2235 13.4968
7.3745 14.0901
7.5255 14.6886
7.6765 15.2921
7.8275 15.9003
7.9785 16.5132
8.1295 17.1305
8.2805 17.7521
8.4315 18.3777
8.5825 19.0072
8.7335 19.6405
1.0325 1.18863
0.8815 1.77909
1.3345 0.361418
1.1835 0.722113
