RECO_TTH_HAD_PTH_GT300_Tag1 chi2 
0.1265 4.21999
-0.0245 5.03564
1.6365 0.186528
1.4855 0.364079
1.9385 -0.0734401
1.7875 0.0416353
2.2405 -0.224882
2.0895 -0.161488
2.5425 -0.284872
2.3915 -0.265372
2.6935 -0.285055
2.8445 -0.267325
0.4285 2.88885
0.2775 3.50837
2.9955 -0.23297
3.1465 -0.183158
3.2975 -0.118927
3.4485 -0.0412206
3.5995 0.0490863
3.7505 0.151248
3.9015 0.26449
4.0525 0.38821
4.2035 0.521789
4.3545 0.664639
4.5055 0.816363
4.6565 0.976384
4.8075 1.1443
4.9585 1.31972
5.1095 1.50223
5.2605 1.69154
5.4115 1.88731
5.5625 2.08922
5.7135 2.29701
5.8645 2.5104
0.7305 1.88265
0.5795 2.35006
6.0155 2.72915
6.1665 2.95302
6.3175 3.18181
6.4685 3.4153
6.6195 3.6533
6.7705 3.89563
6.9215 4.14212
7.0725 4.39262
7.2235 4.64693
7.3745 4.90496
7.5255 5.16654
7.6765 5.43156
7.8275 5.69988
7.9785 5.97138
8.1295 6.24595
8.2805 6.5235
8.4315 6.80392
8.5825 7.08712
8.7335 7.37299
8.8845 7.66145
1.0325 1.13003
0.8815 1.47834
9.0355 7.95244
9.1865 8.24582
9.3375 8.54156
9.4885 8.83959
9.6395 9.13982
9.7905 9.44215
9.9415 9.74663
10.0925 10.0531
10.2435 10.3615
10.3945 10.6718
10.5455 10.9839
10.6965 11.2979
10.8475 11.6135
10.9985 11.9309
11.1495 12.2499
11.3005 12.5704
11.4515 12.8926
11.6025 13.2162
11.7535 13.5413
11.9045 13.8679
1.3345 0.577807
1.1835 0.831607
12.0555 14.1958
12.2065 14.5251
12.3575 14.8557
12.5085 15.1876
12.6595 15.5208
12.8105 15.8552
12.9615 16.1907
13.1125 16.5274
13.2635 16.8653
13.4145 17.2042
13.5655 17.5443
13.7165 17.8854
13.8675 18.2275
14.0185 18.5706
14.1695 18.9147
14.3205 19.2597
14.4715 19.6057
14.6225 19.9526
