RECO_TTH_LEP_PTH_120_200_Tag0 chi2 
0.486068 0
0.1265 0.530731
-0.0245 1.34951
1.4855 1.89632
1.6365 2.38673
1.7875 2.9117
1.9385 3.45241
2.0895 4.02043
2.2405 4.60809
2.3915 5.21809
2.5425 5.83839
2.6935 6.47264
2.8445 7.11925
0.2775 0.12088
2.9955 7.77703
3.1465 8.44489
3.2975 9.12189
3.4485 9.80717
3.5995 10.5
3.7505 11.1998
3.9015 11.9058
4.0525 12.6176
4.2035 13.3346
4.3545 14.0564
4.5055 14.7824
4.6565 15.5126
4.8075 16.2465
4.9585 16.9838
5.1095 17.7242
5.2605 18.4674
5.4115 19.2133
5.5625 19.9615
0.7305 0.118811
0.8815 0.352339
1.0325 0.659274
1.1835 1.02542
1.3345 1.44052
