RECO_TTH_LEP_PTH_GT300_Tag0 chi2 
0.327665 0
0.1265 0.0194297
-0.0245 0.17212
1.4855 1.18743
1.6365 1.46361
1.7875 1.75557
1.9385 2.06146
2.0895 2.37941
2.2405 2.70861
2.3915 3.04766
2.5425 3.39553
2.6935 3.75136
2.8445 4.11447
2.9955 4.48413
3.1465 4.85964
3.2975 5.24044
3.4485 5.62625
3.5995 6.01659
3.7505 6.41095
3.9015 6.80924
4.0525 7.21091
4.2035 7.6159
4.3545 8.02384
4.5055 8.43453
4.6565 8.84774
4.8075 9.26324
4.9585 9.68097
5.1095 10.1006
5.2605 10.5222
5.4115 10.9454
5.5625 11.3702
5.7135 11.7964
5.8645 12.2295
0.5795 0.0284164
0.7305 0.14092
6.0155 12.6529
6.1665 13.0828
6.3175 13.5139
6.4685 13.9458
6.6195 14.3787
6.7705 14.8123
6.9215 15.2467
7.0725 15.6818
7.2235 16.1175
7.3745 16.5536
7.5255 16.9904
7.6765 17.4276
7.8275 17.8651
7.9785 18.3031
8.1295 18.7413
8.2805 19.1799
8.4315 19.6173
0.8815 0.293135
1.0325 0.478449
1.1835 0.691881
1.3345 0.929236
