RECO_VBFLIKEGGH_Tag1 chi2 
0.724251 0
0.0515 1.00809
-0.0495 1.35624
0.9605 0.0751337
1.0615 0.199835
1.1625 0.366099
1.2635 0.572614
1.3645 0.818326
1.4655 1.10162
1.5665 1.42167
1.6675 1.7765
1.7685 2.1653
1.8695 2.58646
0.2535 0.463413
0.1525 0.710664
1.9705 3.03889
2.0715 3.52133
2.1725 4.03263
2.2735 4.57171
2.3745 5.13748
2.4755 5.72914
2.5765 6.34566
2.6775 6.98618
2.7785 7.64973
2.8795 8.33547
2.9805 9.04232
3.0815 9.76958
3.1825 10.5164
3.2835 11.2822
3.3845 12.066
3.4855 12.8413
3.5865 13.5819
3.6875 14.338
3.7885 15.1142
3.8895 15.8996
0.4555 0.117077
0.3545 0.26582
3.9905 16.6993
4.0915 17.5125
4.1925 18.339
4.2935 19.1779
0.5565 0.0163974
