RECO_VBFTOPO_BSM_Tag1 chi2 
1.12024 0
0.0515 2.94978
-0.0495 3.65737
0.9605 0.00553206
1.3645 0.0643908
1.4655 0.170971
1.5665 0.309614
1.6675 0.478287
1.7685 0.675281
1.8695 0.898843
0.2535 1.80887
0.1525 2.33626
1.9705 1.14763
2.0715 1.41968
2.1725 1.71418
2.2735 2.02968
2.3745 2.36495
2.4755 2.71908
2.5765 3.09096
2.6775 3.4854
2.7785 3.89019
2.8795 4.31023
2.9805 4.73908
3.0815 5.18753
3.1825 5.64931
3.2835 6.12371
3.3845 6.61025
3.4855 7.10845
3.5865 7.62334
3.6875 8.14347
3.7885 8.67388
3.8895 9.21417
0.4555 0.984294
0.3545 1.36038
3.9905 9.76397
4.0915 10.3229
4.1925 10.8849
4.2935 11.4611
4.3945 12.0454
4.4955 12.6375
4.5965 13.2371
4.6975 13.8439
4.7985 14.4575
4.8995 15.0778
5.0005 15.7045
5.1015 16.3374
5.2025 16.9762
5.3035 17.6207
5.4045 18.2708
5.5055 18.9261
5.6065 19.5867
0.6575 0.426629
0.5565 0.674778
0.8595 0.0959894
0.7585 0.235216
