RECO_VBFTOPO_JET3VETO_HIGHMJJ_Tag1 chi2 
0.0515 8.44372
-0.0495 9.38872
1.0615 2.04877
0.9605 2.52426
1.2635 1.24385
1.1625 1.62258
1.4655 0.622095
1.3645 0.910917
1.6675 0.170684
1.5665 0.375857
1.8695 -0.122128
1.7685 0.00514917
0.2535 6.751
0.1525 7.56532
2.0715 -0.266963
1.9705 -0.212387
2.1725 -0.287133
2.2735 -0.273886
2.3745 -0.228388
2.4755 -0.151732
2.5765 -0.044896
2.6775 0.0911549
2.7785 0.255475
2.8795 0.447169
2.9805 0.665354
3.0815 0.909251
3.1825 1.17806
3.2835 1.47097
3.3845 1.78729
3.4855 2.12631
3.5865 2.48732
3.6875 2.86973
3.7885 3.27284
3.8895 3.69609
0.4555 5.30513
0.3545 5.99836
3.9905 4.13889
4.0915 4.60067
4.1925 5.08089
4.2935 5.57904
4.3945 6.09462
4.4955 6.62711
4.5965 7.17608
4.6975 7.74108
4.7985 8.32166
4.8995 8.91742
5.0005 9.52795
5.1015 10.1529
5.2025 10.7918
5.3035 11.4443
5.4045 12.1103
5.5055 12.7891
5.6065 13.4806
5.7075 14.1844
5.8085 14.9
5.9095 15.6276
0.6575 4.0884
0.5565 4.66914
6.0105 16.3665
6.1115 17.1167
6.2125 17.8778
6.3135 18.6495
6.4145 19.4316
0.8595 3.05091
0.7585 3.56071
