RECO_VBFTOPO_JET3VETO_LOWMJJ_Tag1 chi2 
1.77986 0
0.0515 5.98879
-0.0495 6.58795
1.0615 0.856584
0.9605 1.16317
1.2635 0.396461
1.1625 0.603604
1.4655 0.108695
1.3645 0.232366
1.5665 0.0227772
0.2535 4.8164
0.1525 5.44393
1.9705 0.00633299
2.0715 0.0621591
2.1725 0.144392
2.2735 0.24603
2.3745 0.365189
2.4755 0.500714
2.5765 0.651555
2.6775 0.816822
2.7785 0.995644
2.8795 1.18728
2.9805 1.3908
3.0815 1.60562
3.1825 1.83046
3.2835 2.06503
3.3845 2.30878
3.4855 2.5608
3.5865 2.82072
3.6875 3.08807
3.7885 3.36248
3.8895 3.64352
0.4555 3.48029
0.3545 4.11834
3.9905 3.9308
4.0915 4.224
4.1925 4.52282
4.2935 4.82696
4.3945 5.13615
4.4955 5.45014
4.5965 5.76858
4.6975 6.09142
4.7985 6.41836
4.8995 6.74921
5.0005 7.08378
5.1015 7.42188
5.2025 7.76321
5.3035 8.10799
5.4045 8.4557
5.5055 8.80627
5.6065 9.15959
5.7075 9.5154
5.8085 9.87377
5.9095 10.2345
0.6575 2.38309
0.5565 2.90221
6.0105 10.5975
6.1115 10.9625
6.2125 11.3297
6.3135 11.6989
6.4145 12.0699
6.5155 12.4428
6.6165 12.8172
6.7175 13.1934
6.8185 13.5712
6.9195 13.9504
7.0205 14.3311
7.1215 14.7132
7.2225 15.0966
7.3235 15.4813
7.4245 15.8672
7.5255 16.2542
7.6265 16.6424
7.7275 17.0316
7.8285 17.4218
7.9295 17.813
0.8595 1.51561
0.7585 1.92152
8.0305 18.1557
8.1315 18.529
8.2325 18.9033
8.3335 19.2786
8.4345 19.655
