RECO_VBFTOPO_JET3_HIGHMJJ_Tag0 chi2 
0.0515 0.752786
-0.0495 1.16588
0.9605 -0.198666
1.0615 -0.0971313
1.1625 0.0545152
1.2635 0.254173
1.3645 0.499585
1.4655 0.788607
1.5665 1.1192
1.6675 1.48949
1.7685 1.8976
1.8695 2.34183
0.2535 0.144347
0.1525 0.413318
1.9705 2.82052
2.0715 3.33208
2.1725 3.87499
2.2735 4.44791
2.3745 5.04945
2.4755 5.67838
2.5765 6.3334
2.6775 7.0134
2.7785 7.71732
2.8795 8.44411
2.9805 9.19275
3.0815 9.96242
3.1825 10.7522
3.2835 11.5612
3.3845 12.3888
3.4855 13.2341
3.5865 14.0963
3.6875 14.975
3.7885 15.8693
3.8895 16.7787
0.4555 -0.194177
0.3545 -0.0571699
3.9905 17.7026
4.0915 18.6403
4.1925 19.5914
0.6575 -0.285993
0.5565 -0.269529
0.7585 -0.24622
0.8595 -0.247385
