RECO_VBFTOPO_JET3_LOWMJJ_Tag1 chi2 
1.27303 0
0.0515 1.7434
-0.0495 2.06212
1.0615 0.00336813
0.9605 0.0637093
1.5665 0.0443544
1.6675 0.116465
1.7685 0.208403
1.8695 0.319649
0.2535 1.18659
0.1525 1.45158
1.9705 0.449336
2.0715 0.596756
2.1725 0.761171
2.2735 0.941992
2.3745 1.13851
2.4755 1.35008
2.5765 1.57612
2.6775 1.81599
2.7785 2.06931
2.8795 2.33553
2.9805 2.61419
3.0815 2.90485
3.1825 3.20708
3.2835 3.52044
3.3845 3.84449
3.4855 4.17863
3.5865 4.52261
3.6875 4.87595
3.7885 5.23828
3.8895 5.60927
0.4555 0.736613
0.3545 0.948305
3.9905 5.99328
4.0915 6.38048
4.1925 6.77534
4.2935 7.17757
4.3945 7.58685
4.4955 8.00294
4.5965 8.42557
4.6975 8.85449
4.7985 9.28947
4.8995 9.73029
5.0005 10.1767
5.1015 10.6285
5.2025 11.0856
5.3035 11.5477
5.4045 12.0093
5.5055 12.4809
5.6065 12.9568
5.7075 13.4373
5.8085 13.9219
5.9095 14.4105
0.6575 0.39139
0.5565 0.55108
6.0105 14.9031
6.1115 15.3995
6.2125 15.8995
6.3135 16.4082
6.4145 16.9151
6.5155 17.4253
6.6165 17.9387
6.7175 18.4551
6.8185 18.9693
6.9195 19.4916
0.8595 0.14812
0.7585 0.257178
