RECO_VBFTOPO_VHHAD_Tag1 chi2 
0.0515 4.14574
-0.0495 4.78967
1.0615 0.333147
0.9605 0.571894
1.2635 0.00570599
1.1625 0.14465
1.4655 -0.15781
1.3645 -0.0844186
1.6675 -0.286431
1.5665 -0.249641
1.7685 -0.269217
1.8695 -0.199012
0.2535 3.05231
0.1525 3.56691
1.9705 -0.0767905
2.0715 0.0965538
2.1725 0.320022
2.2735 0.592665
2.3745 0.913601
2.4755 1.28187
2.5765 1.69666
2.6775 2.15704
2.7785 2.66221
2.8795 3.21129
2.9805 3.80347
3.0815 4.43794
3.1825 5.11389
3.2835 5.83055
3.3845 6.58716
3.4855 7.38296
3.5865 8.21723
3.6875 9.0892
3.7885 9.99831
3.8895 10.9437
0.4555 2.21075
0.3545 2.60045
3.9905 11.9247
4.0915 12.9407
4.1925 13.9911
4.2935 15.075
4.3945 16.1923
4.4955 17.3419
4.5965 18.5234
4.6975 19.7362
0.6575 1.59697
0.5565 1.88203
0.8595 0.861618
0.7585 1.20309
