RECO_VH_MET_Tag0 chi2 
-0.0235 0.384173
-0.0745 0.484476
0.4865 -0.206698
0.4355 -0.176049
0.5885 -0.252397
0.5375 -0.232056
0.6905 -0.278722
0.6395 -0.267886
0.7925 -0.28729
0.7415 -0.285147
0.8435 -0.285323
0.8945 -0.279277
0.0785 0.209165
0.0275 0.292599
0.9455 -0.269755
0.9965 -0.25651
1.0475 -0.239816
1.0985 -0.219796
1.1495 -0.196561
1.2005 -0.170217
1.2515 -0.140868
1.3025 -0.108613
1.3535 -0.073544
1.4045 -0.0357335
1.4555 0.00463383
1.5065 0.047661
1.5575 0.0931366
1.6085 0.141033
1.6595 0.191241
1.7105 0.243704
1.7615 0.298399
1.8125 0.355235
1.8635 0.414162
1.9145 0.475091
0.1805 0.065692
0.1295 0.133651
1.9655 0.538015
2.0165 0.602836
2.0675 0.669542
2.1185 0.73804
2.1695 0.808322
2.2205 0.88034
2.2715 0.954017
2.3225 1.02934
2.3735 1.10627
2.4245 1.18475
2.4755 1.26476
2.5265 1.34626
2.5775 1.42932
2.6285 1.51367
2.6795 1.59941
2.7305 1.68651
2.7815 1.77493
2.8325 1.86466
2.8835 1.95563
2.9345 2.04785
0.2825 -0.04988
0.2315 0.00461794
2.9855 2.14128
3.0365 2.23589
3.0875 2.33166
3.1385 2.42852
3.1895 2.52658
3.2405 2.62568
3.2915 2.72585
3.3425 2.82706
3.3935 2.92931
3.4445 3.03236
3.4955 3.13659
3.5465 3.24177
3.5975 3.34791
3.6485 3.45498
3.6995 3.56294
3.7505 3.6718
3.8015 3.78154
3.8525 3.89216
3.9035 4.00359
3.9545 4.116
0.3845 -0.139873
0.3335 -0.0979491
4.0055 4.22908
4.0565 4.34297
4.1075 4.45764
4.1585 4.57295
4.2095 4.68916
4.2605 4.8061
4.3115 4.92392
4.3625 5.04232
4.4135 5.16143
4.4645 5.28123
4.5155 5.40172
4.5665 5.52288
4.6175 5.64471
4.6685 5.76718
4.7195 5.8903
4.7705 6.01405
4.8215 6.13842
4.8725 6.26339
4.9235 6.38897
4.9745 6.51515
