RECO_WH_LEP_PTV_0_75_Tag1 chi2 
0.0515 0.326882
-0.0495 0.448596
1.0615 -0.28124
0.9605 -0.266099
1.1625 -0.287183
1.2635 -0.28411
1.3645 -0.272249
1.4655 -0.251849
1.5665 -0.223001
1.6675 -0.186023
1.7685 -0.141009
1.8695 -0.0881664
0.2535 0.119043
0.1525 0.217136
1.9705 -0.0277084
2.0715 0.0402256
2.1725 0.109661
2.2735 0.156139
2.3745 0.210467
2.4755 0.272433
2.5765 0.341946
2.6775 0.418842
2.7785 0.502845
2.8795 0.593907
2.9805 0.69179
3.0815 0.796456
3.1825 0.907624
3.2835 1.0253
3.3845 1.14928
3.4855 1.27948
3.5865 1.41568
3.6875 1.5578
3.7885 1.70573
3.8895 1.85934
0.4555 -0.0434265
0.3545 0.032288
3.9905 2.01854
4.0915 2.1832
4.1925 2.35323
4.2935 2.52852
4.3945 2.70896
4.4955 2.89447
4.5965 3.08495
4.6975 3.28031
4.7985 3.48045
4.8995 3.6853
5.0005 3.89476
5.1015 4.10877
5.2025 4.32721
5.3035 4.55004
5.4045 4.77717
5.5055 5.00853
5.6065 5.24404
5.7075 5.48364
5.8085 5.72725
5.9095 5.97481
0.6575 -0.162878
0.5565 -0.10839
6.0105 6.22625
6.1115 6.48152
6.2125 6.74054
6.3135 7.00326
6.4145 7.26962
6.5155 7.53956
6.6165 7.81302
6.7175 8.08995
6.8185 8.3703
6.9195 8.65398
7.0205 8.94099
7.1215 9.23127
7.2225 9.52476
7.3235 9.82143
7.4245 10.1212
7.5255 10.424
7.6265 10.7299
7.7275 11.0388
7.8285 11.3505
7.9295 11.6652
0.8595 -0.241475
0.7585 -0.207143
8.0305 11.9828
8.1315 12.3031
8.2325 12.6262
8.3335 12.9521
8.4345 13.2807
8.5355 13.6119
8.6365 13.9458
8.7375 14.2822
8.8385 14.6212
8.9395 14.9627
9.0405 15.3067
9.1415 15.6531
9.2425 16.002
9.3435 16.3533
9.4445 16.7069
9.5455 17.0628
9.6465 17.4211
9.7475 17.7816
9.8485 18.1443
9.9495 18.5093
