RECO_WH_LEP_PTV_GT150_Tag0 chi2 
0.0515 7.29173
-0.0495 9.36649
1.0615 0.0328021
0.9605 0.231385
1.2635 -0.21011
1.1625 -0.112088
1.4655 -0.287127
1.3645 -0.266906
1.5665 -0.27463
1.6675 -0.232773
1.7685 -0.164299
1.8695 -0.0716418
0.2535 4.29714
0.1525 5.62407
1.9705 0.0431105
2.0715 0.178131
2.1725 0.331821
2.2735 0.502738
2.3745 0.689659
2.4755 0.891399
2.5765 1.10714
2.6775 1.33573
2.7785 1.57635
2.8795 1.82846
2.9805 2.09129
3.0815 2.36421
3.1825 2.64666
3.2835 2.93815
3.3845 3.23814
3.4855 3.54625
3.5865 3.86205
3.6875 4.18517
3.7885 4.51527
3.8895 4.852
0.4555 2.433
0.3545 3.25692
3.9905 5.19508
4.0915 5.54422
4.1925 5.89913
4.2935 6.25962
4.3945 6.62542
4.4955 6.99633
4.5965 7.37214
4.6975 7.75265
4.7985 8.13768
4.8995 8.52708
5.0005 8.92066
5.1015 9.31828
5.2025 9.7198
5.3035 10.1251
5.4045 10.534
5.5055 10.9464
5.6065 11.3622
5.7075 11.7813
5.8085 12.2035
5.9095 12.6288
0.6575 1.24784
0.5565 1.77497
6.0105 13.0571
6.1115 13.4882
6.2125 13.9222
6.3135 14.3588
6.4145 14.7981
6.5155 15.2399
6.6165 15.6842
6.7175 16.131
6.8185 16.58
6.9195 17.0313
7.0205 17.4848
7.1215 17.9405
7.2225 18.3983
7.3235 18.8581
7.4245 19.3198
7.5255 19.7835
0.8595 0.492329
0.7585 0.826467
