RECO_ZH_LEP_Tag0 chi2 
1.86775 0
0.0515 4.43157
-0.0495 5.18112
1.0615 0.578974
0.9605 0.761366
1.2635 0.288565
1.1625 0.420263
1.4655 0.0918459
1.3645 0.175817
1.5665 0.0290542
0.2535 3.20572
0.1525 3.77901
2.1725 0.0206233
2.2735 0.0705577
2.3745 0.132828
2.4755 0.206715
2.5765 0.291512
2.6775 0.38682
2.7785 0.491975
2.8795 0.606613
2.9805 0.72994
3.0815 0.861808
3.1825 1.00164
3.2835 1.14917
3.5865 1.63432
3.6875 1.80919
3.7885 1.99019
3.8895 2.177
0.4555 2.26004
0.3545 2.70209
3.9905 2.36943
4.0915 2.56733
4.1925 2.77041
4.2935 2.97848
4.3945 3.19136
4.4955 3.40903
4.5965 3.63101
4.6975 3.85702
4.7985 4.08744
4.8995 4.32186
5.0005 4.56014
5.1015 4.80217
5.2025 5.04766
5.3035 5.29678
5.4045 5.54928
5.5055 5.80506
5.6065 6.06401
5.7075 6.32603
5.8085 6.59103
5.9095 6.85893
0.6575 1.53329
0.5565 1.87236
6.0105 7.12963
6.1115 7.40305
6.2125 7.67912
6.3135 7.95776
6.4145 8.23889
6.5155 8.52245
6.6165 8.80838
6.7175 9.09659
6.8185 9.38704
6.9195 9.67967
7.0205 9.97442
7.1215 10.2712
7.2225 10.57
7.3235 10.8708
7.4245 11.1735
7.5255 11.478
7.6265 11.7844
7.7275 12.0925
7.8285 12.4023
7.9295 12.7139
0.8595 0.981868
0.7585 1.23798
8.0305 13.0271
8.1315 13.3419
8.2325 13.6583
8.3335 13.9762
8.4345 14.2956
8.5355 14.6165
8.6365 14.9388
8.7375 15.2625
8.8385 15.5875
8.9395 15.914
9.0405 16.2417
9.1415 16.5707
9.2425 16.901
9.3435 17.2324
9.4445 17.5651
9.5455 17.899
9.6465 18.234
9.7475 18.5702
9.8485 18.9074
9.9495 19.2458
