THQ_LEP chi2 
3.79799 0
0.9 4.05626
0.7 4.85708
0.5 5.78146
0.3 6.92574
2.9 0.269474
2.7 0.415385
2.5 0.599193
2.3 0.824755
2.1 1.09656
3.1 0.158069
3.3 0.0781817
3.5 0.027235
3.7 0.00287542
3.9 0.0030489
4.1 0.025748
4.3 0.0658886
4.5 0.120518
4.7 0.193752
4.9 0.284318
5.1 0.391042
5.3 0.512872
5.5 0.648855
5.7 0.79811
5.9 0.959806
6.1 1.1332
6.3 1.3176
6.5 1.51235
6.7 1.71688
6.9 1.93064
7.1 2.15311
7.3 2.38381
7.5 2.62232
7.7 2.86819
7.9 3.12112
1.9 1.41975
1.7 1.80035
1.5 2.24531
1.3 2.76288
1.1 3.36253
