TTH_HAD_PTH_120_200_Tag3 chi2 
2.38388 0
0.9 0.550728
0.7 0.720792
0.5 0.916776
0.3 3.11138
2.1 0.0183816
2.3 0.00157259
2.5 0.00302457
2.7 0.0215748
2.9 0.0565923
3.1 0.107247
3.3 0.1727
3.5 0.252268
3.7 0.345211
3.9 0.450755
4.1 0.568353
4.3 0.697317
4.5 0.837385
4.7 0.987463
4.9 1.14735
5.1 1.31658
5.3 1.49463
5.5 1.68114
5.7 1.87553
5.9 2.07772
6.1 2.28697
6.3 2.50324
6.5 2.72618
6.7 2.95554
6.9 3.19109
7.1 3.43241
7.3 3.67938
7.5 3.92422
7.7 4.15731
7.9 4.39868
1.9 0.053984
1.7 0.109537
1.5 0.186128
1.3 0.284398
1.1 0.405619
