TTH_HAD_PTH_GT300_Tag1 chi2 
2.23827 0
0.9 1.26497
0.7 1.79044
0.5 2.45666
0.3 3.40373
2.1 0.00946585
2.3 0.00186166
2.5 0.0306688
2.7 0.0912057
2.9 0.179195
3.1 0.291238
3.3 0.424439
3.5 0.576603
3.7 0.745674
3.9 0.930088
4.1 1.12842
4.3 1.33949
4.5 1.56215
4.7 1.79546
4.9 2.03853
5.1 2.29066
5.3 2.55113
5.5 2.81924
5.7 3.09445
5.9 3.37625
6.1 3.6642
6.3 3.95771
6.5 4.25655
6.7 4.56025
6.9 4.86842
7.1 5.18084
7.3 5.49731
7.5 5.81755
7.7 6.14119
7.9 6.46819
1.9 0.0598018
1.7 0.160032
1.5 0.318808
1.3 0.54676
1.1 0.856871
