TTH_LEP_PTH_0_60_Tag0 chi2 
1.38648 0
0.9 0.0846439
0.7 0.184274
0.5 0.339717
0.3 0.582447
0.1 7.24538
2.1 0.12272
2.3 0.191306
2.5 0.271081
2.7 0.36062
2.9 0.458752
3.1 0.564551
3.3 0.677104
3.5 0.795801
3.7 0.920021
3.9 1.04921
4.1 1.18289
4.3 1.32069
4.5 1.46208
4.7 1.60704
4.9 1.75516
5.1 1.90616
5.3 2.06001
5.5 2.21607
5.7 2.37457
5.9 2.53519
6.1 2.6978
6.3 2.86229
6.5 3.02846
6.7 3.19627
6.9 3.36557
7.1 3.53642
7.3 3.70849
7.5 3.88189
7.7 4.05646
7.9 4.23207
1.1 0.0271005
1.3 0.002291
1.5 0.00371247
1.7 0.0265186
1.9 0.0671913
