TTH_LEP_PTH_GT300_Tag0 chi2 
0.401679 0
0.3 0.136122
0.5 0.0125645
0.7 0.109871
0.9 0.28406
2.1 2.24274
2.3 2.65873
2.5 3.08993
2.7 3.53452
2.9 3.99058
3.1 4.45619
3.3 4.93046
3.5 5.41231
3.7 5.90051
3.9 6.39457
4.1 6.89376
4.3 7.39729
4.5 7.90507
4.7 8.41628
4.9 8.92999
5.1 9.44684
5.3 9.96608
5.5 10.4871
5.7 11.0103
5.9 11.5348
6.1 12.0605
6.3 12.5874
6.5 13.1151
6.7 13.6439
6.9 14.173
7.1 14.7028
7.3 15.233
7.5 15.7633
7.7 16.2938
7.9 16.8244
1.1 0.51792
1.3 0.799129
1.5 1.11835
1.7 1.46878
1.9 1.84498
